rt,stimulus,response,exp_name,exp_stage,subjectID,trial_type,trial_index,time_elapsed,internal_node_id,span,answer,correct,correct_full,span_history,prolificID,start_time,date
5815.70000000298,"<p style=""font-size:4rem""><br><br>In the next part today, we have a completely different short task.<br><br><br>This part involves keeping numbers in you mind. Participation takes around 5 minutes.<br><br><br></p>",0,fwdspan,instruct,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-button-response,19,496400,0.0-7.0-0.0,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
29168.89999999106,"<p style=""font-size:5rem"">Welcome to the <b>digit span task</b>!<br><br></p><p style=""font-size:3.4rem""><br>On each trial, you will see a sequence of digits, followed by a delay.</p><p style=""font-size:3.4rem""><br>Then you will be asked to type them back in the same order in which they were seen.</p><p style=""font-size:3.4rem""><br><br><br>For example, if you saw the digits <b style=""color:blue;"">1</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">3</b>, you would respond with <b style=""color:blue;"">1</b>, <b style=""color:blue;"">2</b>, <b style=""color:blue;"">3</b></p><p style=""font-size:3.4rem""><br><br><br>To ensure the best measure of true performance for our study,<br><br>it is very important that you do not use any memory aid (e.g., pen and paper).<br><br>Please do the task solely in your head.</p><p style=""font-size:3.4rem""><br><br><br>There will be 12 total trials. Participation takes around 5 minutes.</p><br><br><br>",0,fwdspan,instruct,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-button-response,20,525571,0.0-7.0-1.0,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
1918.7000000029802,"<p style=""font-size:3rem"">Trial 1 of 12</p><br><br><br>",0,fwdspan,start_trial,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-button-response,21,527495,0.0-7.0-2.0-0.0-0.0,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">4</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,22,528509,0.0-7.0-2.0-0.0-1.0-0.0,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,23,529528,0.0-7.0-2.0-0.0-1.1-0.1,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,24,530558,0.0-7.0-2.0-0.0-1.2-0.2,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,[],,fwdspan,delay,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,25,531167,0.0-7.0-2.0-0.0-2.0,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
6928.5,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,fwdspan,response,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,26,538098,0.0-7.0-2.0-0.0-3.0,3.0,"[4,5,3]","[4,5,3]",1.0,"[3, 4, 5, 6, 7, 8, 8, 7, 8]",608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,,,fwdspan,update_span,c1nK8qpkSJfxFY0UOHJkTQILY8w1,call-function,27,538355,0.0-7.0-2.0-0.0-4.0,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
1510.8999999910593,"<p style=""font-size:3rem"">Trial 2 of 12</p><br><br><br>",0,fwdspan,start_trial,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-button-response,28,539867,0.0-7.0-2.1-0.1-0.1,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">6</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,29,540884,0.0-7.0-2.1-0.1-1.3-0.3,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">8</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,30,541900,0.0-7.0-2.1-0.1-1.4-0.4,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,31,542920,0.0-7.0-2.1-0.1-1.5-0.5,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,32,543969,0.0-7.0-2.1-0.1-1.6-0.6,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,[],,fwdspan,delay,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,33,544568,0.0-7.0-2.1-0.1-2.1,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
4826.70000000298,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,fwdspan,response,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,34,549396,0.0-7.0-2.1-0.1-3.1,4.0,"[6,8,9,3]","[6,8,9,3]",1.0,"[3, 4, 5, 6, 7, 8, 8, 7, 8]",608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,,,fwdspan,update_span,c1nK8qpkSJfxFY0UOHJkTQILY8w1,call-function,35,549658,0.0-7.0-2.1-0.1-4.1,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
1284.4000000059605,"<p style=""font-size:3rem"">Trial 3 of 12</p><br><br><br>",0,fwdspan,start_trial,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-button-response,36,550943,0.0-7.0-2.2-0.2-0.2,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">7</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,37,551973,0.0-7.0-2.2-0.2-1.7-0.7,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,38,552989,0.0-7.0-2.2-0.2-1.8-0.8,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">4</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,39,554005,0.0-7.0-2.2-0.2-1.9-0.9,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,40,555036,0.0-7.0-2.2-0.2-1.10-0.10,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,41,556067,0.0-7.0-2.2-0.2-1.11-0.11,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,[],,fwdspan,delay,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,42,556663,0.0-7.0-2.2-0.2-2.2,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
6283.399999991059,"<div class = numbox><p style=""font-size:2.5rem"">What were the numbers <b>in order</b>?<br>(When you are ready to lock in your answer, press <b>ENTER</b>)</p><button id = button_1 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>1</div></div></button><button id = button_2 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>2</div></div></button><button id = button_3 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>3</div></div></button><button id = button_4 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>4</div></div></button><button id = button_5 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>5</div></div></button><button id = button_6 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>6</div></div></button><button id = button_7 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>7</div></div></button><button id = button_8 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>8</div></div></button><button id = button_9 class = ""square num-button"" onclick = ""recordClick(this)""><div class = content><div class = numbers>9</div></div></button><button class = clear_button id = ""ClearButton"" onclick = ""clearResponse()"">Clear</button><p><u><b>Current Answer:</b></u></p><div id=echoed_txt style=""font-size: 6rem; color:blue;""><b></b></div></div><br><br><br><br><br><br><br>",enter,fwdspan,response,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,43,562949,0.0-7.0-2.2-0.2-3.2,5.0,"[7,3,4,9,5]","[7,3,4,9,5]",1.0,"[3, 4, 5, 6, 7, 8, 8, 7, 8]",608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,,,fwdspan,update_span,c1nK8qpkSJfxFY0UOHJkTQILY8w1,call-function,44,563206,0.0-7.0-2.2-0.2-4.2,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
1238.0999999940395,"<p style=""font-size:3rem"">Trial 4 of 12</p><br><br><br>",0,fwdspan,start_trial,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-button-response,45,564445,0.0-7.0-2.3-0.3-0.3,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">7</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,46,565461,0.0-7.0-2.3-0.3-1.12-0.12,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">3</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,47,566484,0.0-7.0-2.3-0.3-1.13-0.13,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">6</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,48,567493,0.0-7.0-2.3-0.3-1.14-0.14,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">2</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,49,568509,0.0-7.0-2.3-0.3-1.15-0.15,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">5</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,50,569555,0.0-7.0-2.3-0.3-1.16-0.16,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,"<p style=""font-size:14rem;font-weight:400;"">9</p>",,fwdspan,number,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,51,570573,0.0-7.0-2.3-0.3-1.17-0.17,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
,[],,fwdspan,delay,c1nK8qpkSJfxFY0UOHJkTQILY8w1,html-keyboard-response,52,571145,0.0-7.0-2.3-0.3-2.3,,,,,,608da9dd3e630867a6efd9b2,11:23:42,15/01/2024
