trial,sort,pattern_stimuli,choice_stimuli_1,choice_stimuli_2,correct_answer,rewarded_answer,prob_violation,condition,feedback_time_duration,mood_rating,leftright_counter,repetition,pair_old,pair,stim1,stim2,stim_left,stim_right,raw_choice_stimuli_1,raw_choice_stimuli_2,feedback,raw_correct_answer,raw_rewarded_answer,longdelay,,,
1,1,images/demo_images/pattern_1.png,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,j,j,NaN,medhigh,3000,0,1,20,NaN,20,1,2,2,1,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,j,j,0,0,,
2,3,images/demo_images/pattern_1.png,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,j,j,NaN,medhigh,3000,0,1,20,NaN,20,1,2,2,1,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,j,j,0,0,,
3,5,images/demo_images/pattern_1.png,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,f,j,NaN,medlow,3000,0,0,20,NaN,20,1,2,1,2,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,0,f,j,0,0,,
4,4,images/demo_images/pattern_1.png,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,f,f,NaN,medhigh,3000,1,0,20,NaN,20,1,2,1,2,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,f,f,0,0,,
5,6,images/demo_images/pattern_1.png,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,j,j,NaN,medhigh,3000,0,1,20,NaN,20,1,2,2,1,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,j,j,0,0,,
6,2,images/demo_images/pattern_1.png,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,f,f,NaN,medhigh,3000,0,0,20,NaN,20,1,2,1,2,images/demo_images/choice_trial_1.png,images/demo_images/choice_trial_2.png,1,f,f,0,0,,
7,37,images/pattern_3.png,images/choice_trial_14.png,images/choice_trial_8.png,f,f,NaN,long1high,7000,0,0,1,3,2,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
8,109,images/pattern_7.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,short1high,750,0,1,1,7,6,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
9,55,images/pattern_4.png,images/choice_trial_14.png,images/choice_trial_8.png,f,f,NaN,long3high,7000,0,0,1,4,3,14,8,14,8,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,1,,,
10,73,images/pattern_5.png,images/choice_trial_8.png,images/choice_trial_14.png,j,j,NaN,short2high,750,0,1,1,5,4,14,8,8,14,images/choice_trial_14.png,images/choice_trial_8.png,1,f,f,0,,,
