trial,sort,part,pair,stim_1,stim_2,stim_left,stim_right,choice_stim_left,choice_stim_right,leftright_counter,longdelay,random
1,6,1,6,6,12,6,12,images/choice_trial_6.png,images/choice_trial_12.png,0,0,0.861327408
2,3,1,3,15,9,9,15,images/choice_trial_9.png,images/choice_trial_15.png,1,1,0.044513565
3,5,1,5,16,3,3,16,images/choice_trial_3.png,images/choice_trial_16.png,1,0,0.109357373
4,4,1,4,11,2,2,11,images/choice_trial_2.png,images/choice_trial_11.png,1,0,0.277448755
5,2,1,2,13,10,13,10,images/choice_trial_13.png,images/choice_trial_10.png,0,1,0.58761376
6,1,1,1,14,8,8,14,images/choice_trial_8.png,images/choice_trial_14.png,1,1,0.61850508
7,7,2,12,14,10,14,10,images/choice_trial_14.png,images/choice_trial_10.png,0,1,0.753742302
8,10,2,45,11,3,3,11,images/choice_trial_3.png,images/choice_trial_11.png,1,0,0.059932589
9,8,2,23,13,9,9,13,images/choice_trial_9.png,images/choice_trial_13.png,1,1,0.984179773
10,11,2,56,16,12,16,12,images/choice_trial_16.png,images/choice_trial_12.png,0,0,0.095244579
11,9,2,31,15,8,15,8,images/choice_trial_15.png,images/choice_trial_8.png,0,1,0.205516428
12,12,2,64,6,2,2,6,images/choice_trial_2.png,images/choice_trial_6.png,1,0,0.319627966
13,15,3,36,15,6,15,6,images/choice_trial_15.png,images/choice_trial_6.png,0,0.5,0.431521257
14,18,3,34,9,2,2,9,images/choice_trial_2.png,images/choice_trial_9.png,1,0.5,0.997183121
15,14,3,25,13,16,16,13,images/choice_trial_16.png,images/choice_trial_13.png,1,0.5,0.41223019
16,17,3,26,10,12,10,12,images/choice_trial_10.png,images/choice_trial_12.png,0,0.5,0.989258702
17,13,3,14,14,11,14,11,images/choice_trial_14.png,images/choice_trial_11.png,0,0.5,0.679748405
18,16,3,15,8,3,3,8,images/choice_trial_3.png,images/choice_trial_8.png,1,0.5,0.471856987
