trial,pair,stim_id_1,stim_id_2,stim_1,stim_2,choice_stim_1,choice_stim_2,leftright_counter,longdelay,random
1,2,14,2,14,2,images/choice_trial_14.png,images/choice_trial_2.png,0,1,0.89511292
2,7,13,4,13,4,images/choice_trial_13.png,images/choice_trial_4.png,0,0,0.105185686
3,4,8,7,7,8,images/choice_trial_7.png,images/choice_trial_8.png,1,1,0.603802545
4,6,10,3,3,10,images/choice_trial_3.png,images/choice_trial_10.png,1,0,0.268941388
5,5,5,15,15,5,images/choice_trial_15.png,images/choice_trial_5.png,1,0,0.481893914
6,3,16,6,16,6,images/choice_trial_16.png,images/choice_trial_6.png,0,1,0.06748726
7,1,1,9,9,1,images/choice_trial_9.png,images/choice_trial_1.png,1,1,0.730850966
8,8,12,11,12,11,images/choice_trial_12.png,images/choice_trial_11.png,0,0,0.264108358
