trial,pair,stim1,stim2,stim_left,stim_right,choice_stim_left,choice_stim_right,leftright_counter,longdelay,random
1,7,8,10,8,10,images/choice_trial_8.png,images/choice_trial_10.png,0,0,0.800095889
2,4,11,4,4,11,images/choice_trial_4.png,images/choice_trial_11.png,1,1,0.396807234
3,6,14,9,9,14,images/choice_trial_9.png,images/choice_trial_14.png,1,0,0.828847442
4,5,7,13,13,7,images/choice_trial_13.png,images/choice_trial_7.png,1,0,0.619194163
5,3,16,2,16,2,images/choice_trial_16.png,images/choice_trial_2.png,0,1,0.640379521
6,1,6,15,15,6,images/choice_trial_15.png,images/choice_trial_6.png,1,1,0.448554398
