trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,labels,prolificID,start_time,date
html-keyboard-response,63,115935,0.0-28.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_5.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_15.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,chosen stimuli: images/choice_trial_15.png,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,64,116687,0.0-28.0-2.0,,,,delaylearn,learning,feedback_duration_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,750.0,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,65,118190,0.0-28.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,66,120639,0.0-29.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,2446.0,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,67,121661,0.0-30.0-0.0,1018.6000000238419,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_6.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_10.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_3.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,4.0,images/choice_trial_10.png,images/choice_trial_3.png,images/pattern_6.png,j,f,750.0,10.0,3.0,5.0,0.0,13.0,0.0,1.0,3.0,80.0,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,68,122666,0.0-30.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_6.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_3.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>",,delaylearn,learning,display_response,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,chosen stimuli: images/choice_trial_3.png,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,69,123420,0.0-30.0-2.0,,,,delaylearn,learning,feedback_duration_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,750.0,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,70,124923,0.0-30.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: green;'>+10 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,71,125426,0.0-31.0-0.0,,,,,,mood_trial_fixation,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
lmdlab-html-vas-response,72,129038,0.0-31.0-1.0,2604.0,How happy are you right now?,0.39814814814814814,delaylearn,learning,mood_trial,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,,"['Very unhappy', 'Very happy']",63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,73,130676,0.0-32.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,1635.0,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,74,131839,0.0-33.0-0.0,1159.3999999761581,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_9.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",f,delaylearn,learning,trial,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,4.0,images/choice_trial_9.png,images/choice_trial_1.png,images/pattern_1.png,j,j,7000.0,9.0,1.0,1.0,1.0,14.0,0.0,0.0,9.0,80.0,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,75,132843,0.0-33.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_9.png"" style=""width: 408px; height: 417px; margin-right: 608px;""></div></div>",,delaylearn,learning,display_response,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,chosen stimuli: images/choice_trial_9.png,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,76,139846,0.0-33.0-2.0,,,,delaylearn,learning,feedback_duration_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,7000.0,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,77,141350,0.0-33.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,78,143380,0.0-34.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,2027.0,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,79,144745,0.0-35.0-0.0,1360.9000000357628,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_3.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_6.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/choice_trial_16.png"" style=""width: 408px; height: 417px;""></div></div>",j,delaylearn,learning,trial,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,4.0,images/choice_trial_6.png,images/choice_trial_16.png,images/pattern_3.png,f,j,7000.0,6.0,16.0,2.0,1.0,15.0,1.0,0.0,16.0,80.0,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,80,145749,0.0-35.0-1.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/pattern_3.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/choice_trial_16.png"" style=""width: 408px; height: 417px; margin-left:608px;""></div></div>",,delaylearn,learning,display_response,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,chosen stimuli: images/choice_trial_16.png,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,81,152752,0.0-35.0-2.0,,,,delaylearn,learning,feedback_duration_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,7000.0,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,82,154255,0.0-35.0-3.0,,<div style='margin:auto;width: auto; font-size: 150%'><span style='font-weight: bold; font-size: 100px; color: red;'>0 points!</span><br><br></div>,,delaylearn,learning,feedback_image_window,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
html-keyboard-response,83,156151,0.0-36.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,Kb6mvgJ2x9NSEVpZQdEK46EU1VK2,,,,,,,,,,,,,,,,,,,1893.0,,63d13d214a2a7a3987f88f5b,16:53:12,27/03/2024
