trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,exp_name,exp_stage,test_part,subjectID,databaseID,counterbal,choice_stimuli_1,choice_stimuli_2,pattern_stimuli,rewarded_answer,correct_answer,feedback_duration_times,stim_left,stim_right,pair,leftright_counter,trial,response_correct,response_rewarded,chosen_stim,counter,displayed_choice,feedback_durations,ITI_duration,prolificID,start_time,date
pavlovia,0,531,0.0-0.0,,,,,,,4rWaZFfoqYTulOVVx8hSFW34cln1,,,,,,,,,,,,,,,,,,,,,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
html-keyboard-response,1,3535,0.0-1.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,pre_fixation,4rWaZFfoqYTulOVVx8hSFW34cln1,,,,,,,,,,,,,,,,,,,,,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
html-keyboard-response,2,6541,0.0-2.0-0.0,,"<div style=""display: flex; flex-direction: column; align-items: center; margin-top: -40px;""><img src=""images/demo_images/pattern_1.png"" style=""width: 234px; height: 230px; margin-top: -50px;""><div style=""display: flex; justify-content: space-between; margin-top: 33px;""><img src=""images/demo_images/choice_trial_2.png"" style=""width: 408px; height: 417px; margin-right: 200px;""><img src=""images/demo_images/choice_trial_1.png"" style=""width: 408px; height: 417px;""></div></div>",,delaylearn,learning,trial,4rWaZFfoqYTulOVVx8hSFW34cln1,4rWaZFfoqYTulOVVx8hSFW34cln1,3.0,images/demo_images/choice_trial_2.png,images/demo_images/choice_trial_1.png,images/demo_images/pattern_1.png,j,j,3000.0,2.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
html-keyboard-response,3,7544,0.0-2.0-1.0,,<div style='font-weight: bold; font-size: 75px; color: red;'>Missed Trial <br><br><br><br> Please respond faster</div>,,delaylearn,learning,display_response,4rWaZFfoqYTulOVVx8hSFW34cln1,4rWaZFfoqYTulOVVx8hSFW34cln1,,,,,,,,,,,,,,,,,Missed trial,,,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
html-keyboard-response,4,7547,0.0-2.0-2.0,,,,delaylearn,learning,feedback_duration_window,4rWaZFfoqYTulOVVx8hSFW34cln1,4rWaZFfoqYTulOVVx8hSFW34cln1,,,,,,,,,,,,,,,,,,0.0,,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
html-keyboard-response,5,7549,0.0-2.0-3.0,,,,delaylearn,learning,feedback_image_window,4rWaZFfoqYTulOVVx8hSFW34cln1,4rWaZFfoqYTulOVVx8hSFW34cln1,,,,,,,,,,,,,,,,,,,,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
html-keyboard-response,6,9464,0.0-3.0,,"<div style=""font-size:100px;"">+</div>",,delaylearn,learning,ITI,4rWaZFfoqYTulOVVx8hSFW34cln1,4rWaZFfoqYTulOVVx8hSFW34cln1,,,,,,,,,,,,,,,,,,,1913.0,5adc6a06e0feeb0001ca9ef9,16:32:47,27/03/2024
