filename,prolificID,start_time,date
'taskdata_240305_110607_exp_ospan_65c64d6115f43749efb97d68.csv',65c64d6115f43749efb97d68,11:06:07,05/03/2024
'taskdata_240305_095143_exp_ospan_59d65ad8e2762800015eb51b.csv',59d65ad8e2762800015eb51b,09:51:43,05/03/2024
'taskdata_240305_094822_exp_ospan_627a76b96bea55210aecbba9.csv',627a76b96bea55210aecbba9,09:48:22,05/03/2024
'taskdata_240304_110840_exp_ospan_5e85f667db8aa41f74436a9f.csv',5e85f667db8aa41f74436a9f,11:08:40,04/03/2024
'taskdata_240304_204214_exp_ospan_641373f8117053037093d10a.csv',641373f8117053037093d10a,20:42:14,04/03/2024
'taskdata_240304_153531_exp_ospan_5e836f61445b1c0761ae6a76.csv',5e836f61445b1c0761ae6a76,15:35:31,04/03/2024
'taskdata_240305_110659_exp_ospan_63d19839498b3afe724b69d6.csv',63d19839498b3afe724b69d6,11:06:59,05/03/2024
'taskdata_240305_153243_exp_ospan_65a5418464c0267277a80a1e.csv',65a5418464c0267277a80a1e,15:32:43,05/03/2024
'taskdata_240304_161733_exp_ospan_65b7b0e4e6fa7d632205b4b6.csv',65b7b0e4e6fa7d632205b4b6,16:17:33,04/03/2024
'taskdata_240305_095405_exp_ospan_60db09ba98a44872897cc587.csv',60db09ba98a44872897cc587,09:54:05,05/03/2024
'taskdata_240305_135207_exp_ospan_60ec1dd7eaa54649ce2bdd3f.csv',60ec1dd7eaa54649ce2bdd3f,13:52:07,05/03/2024
'taskdata_240305_095205_exp_ospan_5de8d53cd0e07e836599d816.csv',5de8d53cd0e07e836599d816,09:52:05,05/03/2024
'taskdata_240304_161949_exp_ospan_607d6e86f96c147cf2b3223c.csv',607d6e86f96c147cf2b3223c,16:19:49,04/03/2024
'taskdata_240305_105422_exp_ospan_614b90050a269c27f4746a37.csv',614b90050a269c27f4746a37,10:54:22,05/03/2024
'taskdata_240305_125211_exp_ospan_65b5a5aa458275b5740acee4.csv',65b5a5aa458275b5740acee4,12:52:11,05/03/2024
