exp_name,exp_stage,subjectID,databaseID,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,response,prolificID,start_time,date
all,fullscreen,Qais6HxPl0g5gzBntnjF63uTwHk1,Qais6HxPl0g5gzBntnjF63uTwHk1,lmdlab-fullscreen,0,3054,0.0-0.0,,,,5c92f797803bff0017fef8dd,11:15:35,15/01/2024
delaylearn,instructions,Qais6HxPl0g5gzBntnjF63uTwHk1,Qais6HxPl0g5gzBntnjF63uTwHk1,lmdlab-rest-trial,1,8654,0.0-1.0,5093.0,"<p style='font-size: 3.4rem; line-height: 1.4'><br><br><br><b>Welcome to the experiment!</b><br><br><br>Today, there are two sets of self-report questionnaires,<br>with a number memory task in-between.<br><br>From participants in this study, we will be opening slots for a follow-up study.<br><br>In the follow-up, starting tomorrow, you can join a<br>study where you will win bonus money based on how well you<br>learn to choose lucky pictures.<br><br>Participants in the follow-up will earn a bonus of £3,<br>plus up to another £6 based on performance in that session.<br><br></p><br><br><br><br>",0.0,5c92f797803bff0017fef8dd,11:15:35,15/01/2024
delaylearn,survey,Qais6HxPl0g5gzBntnjF63uTwHk1,Qais6HxPl0g5gzBntnjF63uTwHk1,lmdlab-html-vas-response,2,12742,0.0-2.0,2564.0,How <b>happy</b> are you right now?,0.7526619354166171,5c92f797803bff0017fef8dd,11:15:35,15/01/2024
